ages,price,reviews,pieces,description,id,difficulty,theme,Licensed
10+,9.99,5,130,Summon the dark side with a LEGO® BrickHeadz construction character featuring Kylo Ren™!,41603,Easy,BrickHeadz,Non-Licensed
12-Jun,9.99,4,88,Engage the Rebels with the tough TIE Striker Microfighter!,75161,Easy,Star Wars™,Licensed
10+,9.99,3,119,Feel the Force with a LEGO® BrickHeadz construction character featuring Rey!,41602,Easy,BrickHeadz,Non-Licensed
14+,199.99,86,1703,Build the ultimate LEGO® Snowspeeder!,75144,Challenging,Star Wars™,Licensed
14-Sep,99.99,15,825,Play at warp speed with Obi-Wan’s Jedi Starfighter With Hyperdrive!,75191,Average,Star Wars™,Licensed
14-Sep,39.99,6,168,Join Darth Vader and battle to victory!,75534,Average,Star Wars™,Licensed
14-Aug,29.99,4,144,Join the hunt with Boba Fett!,75533,Average,Star Wars™,Licensed
12-Jul,19.99,27,149,Go in search of Ben Kenobi in Luke’s Landspeeder!,75173,Easy,Star Wars™,Licensed
14+,199.99,1,1966,Collect the ultimate long-range Rebel starfighter!,75181,Very Challenging,Star Wars™,Licensed
14-Jul,24.99,3,104,Blast into battle with Rebel soldier Jyn Erso!,75119,Average,Star Wars™,Licensed
14-Aug,24.99,1,87,Jump into action with warrior monk Chirrut Îmwe!,75524,Easy,Star Wars™,Licensed
14-Sep,24.99,1,148,Blast the enemy with tough Baze Malbus!,75525,Very Easy,Star Wars™,Licensed
12-Jun,14.99,36,112,Track down those Rebels!,75165,Easy,Star Wars™,Licensed
14+,199.99,94,1685,Presenting the Ultimate Collector Series TIE Fighter – the iconic Imperial starfighter!,75095,Average,Star Wars™,Licensed
14-Sep,119.99,67,1005,Enter the battle with Kylo Ren’s Command Shuttle™!,75104,Average,Star Wars™,Licensed
14-Aug,69.99,39,543,Join the battle against the rebels!,75154,Average,Star Wars™,Licensed
14-Aug,59.99,47,409,Defeat Kylo Ren at the forest castle!,75139,Easy,Star Wars™,Licensed
14-Aug,49.99,19,419,Uncover the Death Star plans at the beach bunker!,75171,Easy,Star Wars™,Licensed
14-Aug,49.99,12,558,Join StarScavenger on dangerous salvage missions!,75147,Easy,Star Wars™,Licensed
14-Aug,59.99,24,530,Stop the thief at Unkar Plutt's market stall!,75148,Average,Star Wars™,Licensed
14-Jun,39.99,26,309,Launch into the holidays with the LEGO® Star Wars Advent Calendar!,75184,Easy,Star Wars™,Licensed
12-Jul,29.99,25,269,Join the Rebel battle aboard The Phantom!,75170,Easy,Star Wars™,Licensed
14-Sep,29.99,25,160,Feel the power of the dark side with posable Darth Vader™!,75111,Average,Star Wars™,Licensed
14-Sep,24.99,12,169,Go behind enemy lines with K-2SO!,75120,Easy,Star Wars™,Licensed
14-Jul,24.99,10,82,Command the troops with Captain Phasma™!,75118,Easy,Star Wars™,Licensed
12-Jul,24.99,5,83,Use the Force to battle the Separatists with posable Obi-Wan Kenobi™!,75109,Easy,Star Wars™,Licensed
14-Aug,24.99,4,106,Enforce Imperial rule with the Empire’s elite Death Trooper!,75121,Easy,Star Wars™,Licensed
12-Jul,19.99,70,193,Speed into action on Rey's Speeder!™,75099,Easy,Star Wars™,Licensed
14-Jul,24.99,1,89,Patrol the Scarif coastline with the armored Stormtrooper!,75523,Easy,Star Wars™,Licensed
14-Aug,24.99,1,98,Practice your warrior skills with Finn!,75116,Easy,Star Wars™,Licensed
12-Jul,19.99,10,85,Battle the Jedi with posable Jango Fett!™,75107,Easy,Star Wars™,Licensed
14-Jul,19.99,10,81,Prepare for battle against the Resistance!,75114,Very Easy,Star Wars™,Licensed
12-Jun,14.99,10,120,Patrol and defend Rebel territory!,75164,Very Easy,Star Wars™,Licensed
12-Jun,12.99,16,112,Speed into battle against the First Order forces!,75131,Very Easy,Star Wars™,Licensed
12-Jun,12.99,38,88,Blast the Resistance with the powerful turbolaser!,75132,Very Easy,Star Wars™,Licensed
10+,9.99,3,127,Lead the First Order with a LEGO® BrickHeadz construction character featuring Captain Phasma™,41486,Very Easy,BrickHeadz,Non-Licensed
12-Jun,9.99,7,90,Shoot for the stars with the Y-Wing Microfighter!,75162,Very Easy,Star Wars™,Licensed
12-Jun,9.99,9,87,Blast off on miniature X-Wing Fighter adventures!,75125,Easy,Star Wars™,Licensed
12-Jun,9.99,11,93,Go on the hunt for microfighter rebels!,75128,Easy,Star Wars™,Licensed
12-Jun,9.99,4,78,Fly in style with Krennic’s miniature Imperial Shuttle!,75163,Very Easy,Star Wars™,Licensed
12-Jun,9.99,11,91,Speed across distant planets in the micro First Order Snowspeeder™!,75126,Easy,Star Wars™,Licensed
16-Dec,149.99,20,1628,Break into Arkham Asylum with Batman™!,70912,Average,THE LEGO® BATMAN MOVIE,Licensed
16-Oct,139.99,18,1456,Divide the 4-in-1 Ultimate Batmobile and conquer the Super-Villains!,70917,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Aug,99.99,23,1047,Protect the Batcave from The Penguin’s invasion!,70909,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Sep,89.99,4,1053,Patrol the sky above Gotham City in The Batwing!,70916,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Aug,79.99,9,643,Launch a space mission from the Batcave!,70923,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Aug,59.99,20,581,Pursue Man-Bat™ and the Kabuki Twins™ in the Batmobile with three driving modes!,70905,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Aug,49.99,19,433,Team up with Batgirl™ to stop The Joker’s Notorious Lowrider!,70906,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Jul,49.99,5,425,Dodge Harley Quinn’s cannonball attacks!,70921,Average,THE LEGO® BATMAN MOVIE,Licensed
14-Aug,49.99,6,366,Protect Gotham City from Bane’s toxic attacks!,70914,Average,THE LEGO® BATMAN MOVIE,Licensed
